Time,Target Position,Measured Position,Torque,Current,Rotation raw,Pinion Target,Pinion Position,Pinion Current,Torque demand,Previous Pos,Moved,Motion Direction,i,j,Percent Output,PosControl, Stator Current,System Clock,
0.363586,90.9509,30,0.0153292,0.84,0,0,0,0,4.3838,-4.08612e-44,1,0,0,-8.23873e-07,0.0146628,1,0.84,Wed Jan 18 12:45:12 2023,0,
0.373652,92.2195,34,0.0153292,0.84,0,0,0,0,4.3838,-4.08612e-44,1,0,0,-8.23873e-07,0.0146628,1,0.84,Wed Jan 18 12:45:12 2023,0,
0.383716,93.3961,36,0.0153292,0.84,0,0,0,0,4.3838,-4.08612e-44,1,0,0,-8.23873e-07,0.0136852,1,0.84,Wed Jan 18 12:45:12 2023,0,
0.39378,94.4791,39,0.0153292,0.84,0,0,0,0,4.3838,-4.08612e-44,1,0,0,-8.23873e-07,0.0146628,1,0.84,Wed Jan 18 12:45:12 2023,0,
0.403841,95.4675,42,0.0202564,1.11,0,0,0,0,4.3838,-4.08612e-44,1,0,0,-8.23873e-07,0.0136852,1,1.11,Wed Jan 18 12:45:12 2023,0,
0.413902,96.3605,44,0.0202564,1.11,0,0,0,0,4.3838,-4.08612e-44,1,0,0,-8.23873e-07,0.0136852,1,1.11,Wed Jan 18 12:45:12 2023,0,
0.423962,97.1572,47,0.0202564,1.11,0,0,0,0,4.3838,-4.08612e-44,1,0,0,-8.23873e-07,0.0146628,1,1.11,Wed Jan 18 12:45:12 2023,0,
0.434024,97.8568,51,0.0202564,1.11,0,0,0,0,4.3838,-4.08612e-44,1,0,0,-8.23873e-07,0.0136852,1,1.11,Wed Jan 18 12:45:12 2023,0,
0.444085,98.4587,52,0.0202564,1.11,0,0,0,0,4.3838,-4.08612e-44,1,0,0,-8.23873e-07,0.0146628,1,1.11,Wed Jan 18 12:45:12 2023,0,
0.454149,98.9624,56,0.0166066,0.91,0,0,0,0,4.3838,-4.08612e-44,1,0,0,-8.23873e-07,0.0127077,1,0.91,Wed Jan 18 12:45:12 2023,0,
