Time,Target Position,Measured Position,Torque,Current,Rotation raw,Pinion Target,Pinion Position,Pinion Current,Torque demand,Previous Pos,Moved,Motion Direction,i,j,Percent Output,PosControl, Stator Current,System Clock,
0.0102087,3.14084,0,0,0,0,0,0,0,4.3838,-3.93723e-44,1,0,0,-1.04104e-05,0,1,0,Wed Jan 18 12:34:46 2023,0,
0.0206481,6.45612,0,0,0,0,0,0,0,4.3838,-3.93723e-44,1,0,0,-1.04104e-05,0,1,0,Wed Jan 18 12:34:46 2023,0,
0.0308172,9.64288,0,0,0,0,0,0,0,4.3838,-3.93723e-44,1,0,0,-1.04104e-05,0,1,0,Wed Jan 18 12:34:46 2023,0,
0.0410311,12.812,0,0,0,0,0,0,0,4.3838,-3.93723e-44,1,0,0,-1.04104e-05,0,1,0,Wed Jan 18 12:34:46 2023,0,
0.0512123,15.995,0,0,0,0,0,0,0,4.3838,-3.93723e-44,1,0,0,-1.04104e-05,0,1,0,Wed Jan 18 12:34:46 2023,0,
0.0613717,19.1383,0,0,0,0,0,0,0,4.3838,-3.93723e-44,1,0,0,-1.04104e-05,0,1,0,Wed Jan 18 12:34:46 2023,0,
0.0715309,22.2598,0,0,0,0,0,0,0,4.3838,-3.93723e-44,1,0,0,-1.04104e-05,0,1,0,Wed Jan 18 12:34:46 2023,0,
0.0816306,25.3512,0,0,0,0,0,0,0,4.3838,-3.93723e-44,1,0,0,-1.04104e-05,0,1,0,Wed Jan 18 12:34:46 2023,0,
0.0916949,28.3969,0,0,0,0,0,0,0,4.3838,-3.93723e-44,1,0,0,-1.04104e-05,0,1,0,Wed Jan 18 12:34:46 2023,0,
0.101758,31.4128,0,0,0,0,0,0,0,4.3838,-3.93723e-44,1,0,0,-1.04104e-05,0,1,0,Wed Jan 18 12:34:46 2023,0,
0.111823,34.3993,0,0,0,0,0,0,0,4.3838,-3.93723e-44,1,0,0,-1.04104e-05,0,1,0,Wed Jan 18 12:34:46 2023,0,
0.121882,37.3491,0,0,0,0,0,0,0,4.3838,-3.93723e-44,1,0,0,-1.04104e-05,0,1,0,Wed Jan 18 12:34:46 2023,0,
0.131944,40.2619,0,0,0,0,0,0,0,4.3838,-3.93723e-44,1,0,0,-1.04104e-05,0.000977517,1,0,Wed Jan 18 12:34:46 2023,0,
0.142002,43.1341,0,0,0,0,0,0,0,4.3838,-3.93723e-44,1,0,0,-1.04104e-05,0.000977517,1,0,Wed Jan 18 12:34:46 2023,0,
0.152065,45.9638,0,0.00109494,0.06,0,0,0,0,4.3838,-3.93723e-44,1,0,0,-1.04104e-05,0.00195503,1,0.06,Wed Jan 18 12:34:46 2023,0,
0.162123,48.7473,0,0.00109494,0.06,0,0,0,0,4.3838,-3.93723e-44,1,0,0,-1.04104e-05,0.00391007,1,0.06,Wed Jan 18 12:34:46 2023,0,
0.172187,51.4819,0,0.00109494,0.06,0,0,0,0,4.3838,-3.93723e-44,1,0,0,-1.04104e-05,0.00488759,1,0.06,Wed Jan 18 12:34:46 2023,0,
0.182245,54.1657,0,0.00109494,0.06,0,0,0,0,4.3838,-3.93723e-44,1,0,0,-1.04104e-05,0.0058651,1,0.06,Wed Jan 18 12:34:46 2023,0,
