Time,Target Position,Measured Position,Torque,Current,Rotation raw,Pinion Target,Pinion Position,Pinion Current,Torque demand,Previous Pos,Moved,Motion Direction,i,j,Percent Output,PosControl, Stator Current,System Clock,
0.363948,90.9982,27,0.0127743,0.7,0,0,0,0,4.3838,-3.6307e-44,1,0,0,-3.07629e-07,0.0166178,1,0.7,Wed Jan 18 12:42:46 2023,0,
0.37401,92.2632,33,0.0127743,0.7,0,0,0,0,4.3838,-3.6307e-44,1,0,0,-3.07629e-07,0.0156403,1,0.7,Wed Jan 18 12:42:46 2023,0,
0.384076,93.4365,38,0.0127743,0.7,0,0,0,0,4.3838,-3.6307e-44,1,0,0,-3.07629e-07,0.0136852,1,0.7,Wed Jan 18 12:42:46 2023,0,
0.394142,94.5164,38,0.0127743,0.7,0,0,0,0,4.3838,-3.6307e-44,1,0,0,-3.07629e-07,0.0146628,1,0.7,Wed Jan 18 12:42:46 2023,0,
0.404203,95.5014,41,0.0158767,0.87,0,0,0,0,4.3838,-3.6307e-44,1,0,0,-3.07629e-07,0.0136852,1,0.87,Wed Jan 18 12:42:46 2023,0,
0.414272,96.391,42,0.0158767,0.87,0,0,0,0,4.3838,-3.6307e-44,1,0,0,-3.07629e-07,0.0156403,1,0.87,Wed Jan 18 12:42:46 2023,0,
0.424347,97.1857,46,0.0158767,0.87,0,0,0,0,4.3838,-3.6307e-44,1,0,0,-3.07629e-07,0.0146628,1,0.87,Wed Jan 18 12:42:46 2023,0,
0.434411,97.8818,48,0.0158767,0.87,0,0,0,0,4.3838,-3.6307e-44,1,0,0,-3.07629e-07,0.0156403,1,0.87,Wed Jan 18 12:42:46 2023,0,
0.444474,98.48,51,0.0158767,0.87,0,0,0,0,4.3838,-3.6307e-44,1,0,0,-3.07629e-07,0.0146628,1,0.87,Wed Jan 18 12:42:46 2023,0,
0.454537,98.9798,53,0.0208039,1.14,0,0,0,0,4.3838,-3.6307e-44,1,0,0,-3.07629e-07,0.0156403,1,1.14,Wed Jan 18 12:42:46 2023,0,
0.464598,99.3807,57,0.0208039,1.14,0,0,0,0,4.3838,-3.6307e-44,1,0,0,-3.07629e-07,0.0146628,1,1.14,Wed Jan 18 12:42:46 2023,0,
0.47466,99.6822,59,0.0208039,1.14,0,0,0,0,4.3838,-3.6307e-44,1,0,0,-3.07629e-07,0.0146628,1,1.14,Wed Jan 18 12:42:46 2023,0,
0.484724,99.8842,62,0.0208039,1.14,0,0,0,0,4.3838,-3.6307e-44,1,0,0,-3.07629e-07,0.0146628,1,1.14,Wed Jan 18 12:42:46 2023,0,
0.494791,99.9864,64,0.0208039,1.14,0,0,0,0,4.3838,-3.6307e-44,1,0,0,-3.07629e-07,0.0127077,1,1.14,Wed Jan 18 12:42:46 2023,0,
0.504856,99.9886,64,0.0187965,1.03,0,0,0,0,4.3838,-3.6307e-44,1,0,0,-3.07629e-07,0.0146628,1,1.03,Wed Jan 18 12:42:46 2023,0,
0.514918,99.8908,67,0.0187965,1.03,0,0,0,0,4.3838,-3.6307e-44,1,0,0,-3.07629e-07,0.0156403,1,1.03,Wed Jan 18 12:42:46 2023,0,
0.524979,99.6933,71,0.0187965,1.03,0,0,0,0,4.3838,-3.6307e-44,1,0,0,-3.07629e-07,0.0127077,1,1.03,Wed Jan 18 12:42:46 2023,0,
0.535039,99.3962,71,0.0187965,1.03,0,0,0,0,4.3838,-3.6307e-44,1,0,0,-3.07629e-07,0.0136852,1,1.03,Wed Jan 18 12:42:46 2023,0,
0.545099,98.9998,71,0.0187965,1.03,0,0,0,0,4.3838,-3.6307e-44,1,0,0,-3.07629e-07,0.0156403,1,1.03,Wed Jan 18 12:42:46 2023,0,
0.555159,98.5047,76,0.0187965,1.03,0,0,0,0,4.3838,-3.6307e-44,1,0,0,-3.07629e-07,0.0127077,1,1.03,Wed Jan 18 12:42:46 2023,0,
